n_trials,min_range_pct,stretched_threshold_pct,stop_buffer_pct,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
300,0.005,0.025,0.005,24,19,0.21052631578947367,0.5041768747865247,-0.7328806947693454,0.13866340236955832,-0.07450080085742605,-0.008901911630934227,-0.015107407537529437,-0.1691363209877503,4,15
300,0.02,0.025,0.005,24,19,0.21052631578947367,0.5041768747865247,-0.7328806947693454,0.13866340236955832,-0.07450080085742605,-0.008901911630934227,-0.015107407537529437,-0.1691363209877503,4,15
300,0.025,0.025,0.005,24,19,0.21052631578947367,0.5041768747865247,-0.7328806947693454,0.13866340236955832,-0.07450080085742605,-0.008901911630934227,-0.015107407537529437,-0.1691363209877503,4,15
300,0.015,0.025,0.005,24,19,0.21052631578947367,0.5041768747865247,-0.7328806947693454,0.13866340236955832,-0.07450080085742605,-0.008901911630934227,-0.015107407537529437,-0.1691363209877503,4,15
300,0.015,0.025,0.005,48,19,0.15789473684210525,0.5071906942302238,-0.7715812323398972,0.19549265321740977,-0.08717991900293898,-0.010448366130989394,-0.020441535144772517,-0.19851895648879847,3,16
300,0.01,0.025,0.005,48,19,0.15789473684210525,0.5071906942302238,-0.7715812323398972,0.19549265321740977,-0.08717991900293898,-0.010448366130989394,-0.020441535144772517,-0.19851895648879847,3,16
300,0.02,0.025,0.005,48,19,0.15789473684210525,0.5071906942302238,-0.7715812323398972,0.19549265321740977,-0.08717991900293898,-0.010448366130989394,-0.020441535144772517,-0.19851895648879847,3,16
300,0.005,0.025,0.005,48,19,0.15789473684210525,0.5071906942302238,-0.7715812323398972,0.19549265321740977,-0.08717991900293898,-0.010448366130989394,-0.020441535144772517,-0.19851895648879847,3,16
300,0.025,0.025,0.005,48,19,0.15789473684210525,0.5071906942302238,-0.7715812323398972,0.19549265321740977,-0.08717991900293898,-0.010448366130989394,-0.020441535144772517,-0.19851895648879847,3,16
300,0.02,0.02,0.02,48,30,0.3333333333333333,0.6000421653413349,-0.814448310573006,0.2983578033105681,-0.12197597681273376,-0.00928031552388832,-0.02898903360046802,-0.2784094657166496,10,20
300,0.005,0.02,0.02,48,30,0.3333333333333333,0.6000421653413349,-0.814448310573006,0.2983578033105681,-0.12197597681273376,-0.00928031552388832,-0.02898903360046802,-0.2784094657166496,10,20
300,0.015,0.02,0.02,48,30,0.3333333333333333,0.6000421653413349,-0.814448310573006,0.2983578033105681,-0.12197597681273376,-0.00928031552388832,-0.02898903360046802,-0.2784094657166496,10,20
300,0.025,0.02,0.02,48,30,0.3333333333333333,0.6000421653413349,-0.814448310573006,0.2983578033105681,-0.12197597681273376,-0.00928031552388832,-0.02898903360046802,-0.2784094657166496,10,20
300,0.01,0.02,0.02,48,30,0.3333333333333333,0.6000421653413349,-0.814448310573006,0.2983578033105681,-0.12197597681273376,-0.00928031552388832,-0.02898903360046802,-0.2784094657166496,10,20
300,0.015,0.015,0.005,48,55,0.3090909090909091,0.6566207747296204,-0.8216350972132446,0.2768886392497825,-0.11673985947189802,-0.005259850972350939,-0.015107407537529437,-0.28929180347930167,17,38
300,0.01,0.015,0.005,48,55,0.3090909090909091,0.6566207747296204,-0.8216350972132446,0.2768886392497825,-0.11673985947189802,-0.005259850972350939,-0.015107407537529437,-0.28929180347930167,17,38
300,0.02,0.015,0.005,48,55,0.3090909090909091,0.6566207747296204,-0.8216350972132446,0.2768886392497825,-0.11673985947189802,-0.005259850972350939,-0.015107407537529437,-0.28929180347930167,17,38
300,0.005,0.015,0.005,48,55,0.3090909090909091,0.6566207747296204,-0.8216350972132446,0.2768886392497825,-0.11673985947189802,-0.005259850972350939,-0.015107407537529437,-0.28929180347930167,17,38
