n_trials,min_range_pct,extreme_proximity_pct,stop_buffer_pct,tp_fraction,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
1500,0.02,0.2,0.015,0.7,4,175,0.37714285714285717,0.5648631830071498,-1.7803317693698297,0.5573885460213677,-0.22489560542736942,-0.003528269397640944,-0.004608950534041685,-0.6174471445871652,66,109
1500,0.025,0.2,0.0075,0.7,6,133,0.2932330827067669,0.5591464547841584,-1.7836762436578197,0.5676139037017229,-0.2291440124527545,-0.004673337526269781,-0.013872494461342044,-0.6215538909938808,39,94
1500,0.025,0.15,0.015,0.4,4,88,0.4431818181818182,0.4717343671608011,-1.7861274957245088,0.39040741294256615,-0.1617232104767874,-0.00484358639491967,-0.0045474688975941134,-0.426235602752931,39,49
1500,0.015,0.15,0.015,0.5,8,132,0.4166666666666667,0.5343140941183123,-1.7907864437719037,0.5341151413308457,-0.20838434529366145,-0.0043415401177609135,-0.004267474866082519,-0.5730832955444406,55,77
1500,0.025,0.2,0.01,0.6,4,133,0.37593984962406013,0.5376895552351969,-1.7966150445889504,0.5023346826505375,-0.20091309113482814,-0.004049075456871945,-0.005858753860358496,-0.5385270357639687,50,83
1500,0.025,0.15,0.005,0.4,6,88,0.375,0.5004531232291252,-1.7972658809302833,0.3626889885245988,-0.14694763922154708,-0.004376982914472976,-0.011940900907286493,-0.3851744964736219,33,55
1500,0.025,0.15,0.01,0.4,4,88,0.4318181818181818,0.4787203914787848,-1.7988369249448581,0.37998599495091895,-0.15285894860282578,-0.004563668256591367,-0.0051173260813035144,-0.40160280658004033,38,50
1500,0.025,0.15,0.005,0.4,8,88,0.375,0.5002550510120914,-1.8024069479310354,0.36692403696474274,-0.14919156045596238,-0.0044483767396270605,-0.011940900907286493,-0.3914571530871813,33,55
1500,0.015,0.15,0.015,0.5,6,132,0.4166666666666667,0.534036800468581,-1.8097046397498107,0.5260827213470387,-0.2058733019676624,-0.004287679588623622,-0.004157915111333725,-0.5659737056983181,55,77
1500,0.025,0.25,0.015,0.7,4,175,0.37714285714285717,0.5653627402521697,-1.8108093919301833,0.5719031197335553,-0.2426937903390095,-0.003833886471768879,-0.0049416066694726885,-0.6709301325595538,66,109
1500,0.025,0.25,0.015,0.7,8,175,0.34285714285714286,0.582340506560555,-1.8122046238718772,0.6379585024143788,-0.2863059516871812,-0.004614965802891353,-0.005591914549750927,-0.8076190155059868,60,115
1500,0.02,0.2,0.015,0.7,6,175,0.34285714285714286,0.5766138002842981,-1.8127346378319782,0.6038467513847607,-0.25347293446230734,-0.004033000095422692,-0.005555824284824886,-0.705775016698971,60,115
1500,0.025,0.15,0.0075,0.4,4,88,0.42045454545454547,0.48391757562108634,-1.816329558822262,0.3765148274604325,-0.14746269767205633,-0.004395164022165664,-0.006509262727826937,-0.3867744339505784,37,51
1500,0.025,0.15,0.0025,0.7,6,88,0.19318181818181818,0.47016206674482647,-1.8174826556550154,0.37577501164976684,-0.17394713644751425,-0.005243346041720438,-0.011754365852313028,-0.46141445167139855,17,71
1500,0.015,0.15,0.01,0.7,4,132,0.3712121212121212,0.5145346199446835,-1.8187526205872915,0.530049048525337,-0.20262484246134915,-0.00421681057280904,-0.006149378999060584,-0.5566189956107933,49,83
1500,0.025,0.15,0.0075,0.4,8,88,0.3977272727272727,0.49272155761568004,-1.8230023986266526,0.3995422256971996,-0.15943031201200075,-0.004775821513531279,-0.008885878476294152,-0.42027229319075254,35,53
1500,0.025,0.2,0.005,0.7,6,133,0.2706766917293233,0.5524833840246525,-1.825045930087174,0.5478341336079712,-0.2252980019556141,-0.004594793414240589,-0.01332195914588604,-0.6111075240939983,36,97
1500,0.015,0.15,0.015,0.7,4,132,0.3787878787878788,0.5060754616883933,-1.827836568134088,0.5385990134391665,-0.21280782378472862,-0.004449310747587284,-0.005416521104103395,-0.5873090186815215,50,82
1500,0.025,0.2,0.005,0.7,4,133,0.3233082706766917,0.5294487813810914,-1.8384914163502133,0.5066980801015109,-0.20571112800275382,-0.0041612351681212705,-0.010501429108824803,-0.553444277360129,43,90
1500,0.02,0.15,0.01,0.4,8,114,0.4824561403508772,0.5038527289746176,-1.8443836146449295,0.43226801175900564,-0.1725796468392955,-0.0040721864880446795,-0.0025802612395062364,-0.4642292596370935,55,59
1500,0.015,0.15,0.0075,0.7,4,132,0.3560606060606061,0.5153379006757648,-1.8458928914293082,0.5196540090179119,-0.19915086225890777,-0.004142240348049852,-0.006976807828106147,-0.5467757259425805,47,85
1500,0.005,0.15,0.015,0.7,6,165,0.3333333333333333,0.543701534228167,-1.8472965698231238,0.6079488069461785,-0.24093902447048998,-0.0040839398332966435,-0.005034833097336763,-0.6738500724939462,55,110
1500,0.025,0.15,0.0025,0.7,8,88,0.20454545454545456,0.46437487078312845,-1.8511508411342577,0.38042948626873324,-0.17643411267515574,-0.005328975047903716,-0.011754365852313028,-0.46894980421552707,18,70
1500,0.02,0.15,0.005,0.7,4,114,0.30701754385964913,0.4909568036676049,-1.8684014849337587,0.4900517110223151,-0.1915280516608454,-0.004561198136190295,-0.012266435020295853,-0.5199765875256936,35,79
